R7179,R9641
R3354,R7184
R3650,R9961
R15354,R16745
R6477,R8402
R5802,R7689
R8745,R9277
R11868,R9145
R11767,R13869
R13117,R14292
R13299,R17245
R10693,R8688
R12736,R9560
R4492,R6885
R12646,R7907
R14107,R16366
R5944,R9854
R3058,R6377
R9298,R9809
R13933,R9525
R6141,R8070
R1584,R215
R6829,R8337
R1838,R844
R3803,R8153
R12043,R7700
R1268,R9050
R12912,R15720
R3522,R5416
R15579,R15580
R2514,R6350
R1745,R2726
R2884,R6264
R3661,R4642
R13774,R16017
R1649,R2631
R12628,R4996
R5918,R8372
R13478,R15364
R12211,R14239
R10247,R3946
R12802,R6624
R6379,R7852
R10182,R4436
R1580,R2594
R2464,R5303
R4293,R7171
R14980,R16066
R4804,R7753
R16108,R16791
R6838,R9308
R14913,R15275
R10804,R13396
R3822,R5668
R2261,R2756
R5373,R8267
R11374,R15059
R14973,R17053
R13251,R14807
R3542,R4982
R5086,R8479
R14154,R14909
R1015,R3914
R4160,R5114
R12006,R8217
R7491,R8978
R3738,R7057
R2536,R9336
R3656,R4565
R1317,R6181
R10363,R6913
R6248,R7195
R3766,R6600
R6676,R9138
R6890,R8839
R10492,R9034
R130,R4450
R14911,R15663
R2208,R6085
R4274,R5710
R15205,R9747
R14874,R9818
R4357,R9718
R10557,R7145
R13134,R15838
R5321,R7227
R10886,R5092
R15543,R16942
R8037,R9527
R8841,R9361
R3752,R5656
R13550,R14319
R5425,R6366
R8702,R9716
R10754,R12569
R10798,R9399
R2043,R7858
R11861,R14563
R4223,R4679
R12533,R13340
R14839,R9182
R4481,R6887
R1789,R2814
R10652,R8268
R12844,R15187
R3144,R4118
R13412,R8905
R15938,R17274
R15447,R17170
R14007,R9634
R6015,R9409
R15255,R15633
R5211,R6508
R4702,R7401
R12762,R14013
R10077,R7142
R10664,R9738
R2438,R4364
R12718,R13533
R12500,R16345
R11826,R6563
R1450,R3442
R13494,R16418
R6457,R7907
R3411,R450
R11046,R9195
R11712,R13410
R16108,R17582
R14148,R15291
R13424,R14546
R6198,R9106
R6699,R7665
R12827,R16963
R12562,R13365
R11803,R13503
R10018,R8036
R10306,R6401
R7849,R8865
R13819,R14220
R15083,R15816
R13157,R16255
R12185,R6015
R11387,R14316
R5976,R7943
R3969,R5291
R3153,R4127
R3229,R6098
R2707,R3719
R15129,R8584
R12729,R14703
R14126,R14868
R6458,R8940
R7216,R7745
R5018,R9870
R10266,R7325
R30,R5353
R14300,R15070
R4015,R6366
R10286,R6360
R14173,R17399
R1648,R4571
R12082,R15292
R11673,R12578
R13076,R16120
R13428,R9406
R6804,R7716
R14237,R17406
R10531,R12310
R15373,R17401
R12690,R14660
R13930,R15067
R12575,R14522
R10379,R7913
R10360,R9444
R12308,R8031
R11940,R12869
R7753,R9289
R12019,R8710
R12745,R14306
R1839,R5676
R11734,R12641
R8104,R9573
R9308,R9814
R4045,R4955
R15270,R16731
R10473,R7984
R10638,R9679
R1270,R2225
R6653,R9101
R15662,R17360
R12890,R14846
R1529,R5895
R14492,R15973
R12420,R14059
R4549,R7913
R1847,R3328
R11220,R7872
R4755,R5233
R2322,R4755
R2832,R5199
R12544,R2070
R13920,R16813
R10530,R13150
R8313,R8314
R13158,R14007
R12397,R13827
R5319,R8290
R14678,R9525
R4236,R4332
R10886,R7987
R5149,R6607
R11537,R14413
R10387,R11719
R10893,R7004
R1384,R8166
R3810,R7142
R1980,R5337
R2843,R4279
R11434,R13212
R10274,R9795
R12181,R15708
R10718,R9312
R12868,R15939
R2560,R354
R10471,R14252
R1290,R6132
R11213,R16727
R12520,R13754
R14481,R15987
R3567,R5916
R1293,R2251
R16108,R17401
R7407,R9437
R1080,R4498
R10480,R10930
R6774,R7789
R12526,R14119
R14125,R15228
R12974,R9362
R5386,R9805
R11161,R14877
R2784,R9089
R11122,R7788
R2209,R7027
R10813,R8922
R1221,R3174
R1820,R4726
R6127,R9070
R12940,R14507
R11346,R12261
R2447,R5809
R4818,R6287
R10818,R7449
R3029,R6870
R2222,R3223
R1126,R3599
R10610,R6259
R12299,R7552
R2082,R4552
R2702,R725
R13528,R16157
R6904,R7853
R7167,R9627
R10343,R3619
R4040,R7840
R10779,R5439
R14193,R7428
R8965,R9946
R16764,R17565
R5957,R9926
R12887,R14836
R5557,R6551
R12693,R14272
R11205,R9855
R14248,R8487
R12420,R9198
R12224,R16103
R10674,R6798
R7578,R9082
R3631,R4509
R13323,R14500
R7359,R9371
R4632,R7004
R8729,R9689
R12065,R14115
R10196,R13264
R1184,R2629
R7434,R9930
R12313,R7088
R15210,R8756
R499,R5325
R13728,R14908
R4903,R8191
R2147,R255
R12735,R13946
R5648,R8063
R10613,R8743
R3841,R9615
R16046,R16265
R1466,R2472
R11443,R6664
R13644,R16957
R10935,R16187
R726,R9032
R12540,R13734
R12938,R8813
R14792,R8751
R8367,R9832
R11889,R13209
R5756,R9748
R14868,R15624
R6119,R7569
R11218,R12548
R3355,R890
R15585,R17297
R11038,R8282
R12833,R8730
R1698,R6990
R11693,R14204
R10264,R5425
R1433,R1876
R4149,R8484
R1317,R3842
R4980,R5922
R11468,R15892
R6653,R8095
R7515,R8515
R12395,R9165
R11576,R17267
R15212,R9288
R9220,R9756
R13389,R9911
R3470,R8272
R3071,R9848
R10902,R9517
R5509,R9419
R10814,R9902
R11319,R6961
R2533,R3541
R13234,R14017
R4586,R8997
R10870,R14615
R4744,R7161
R5697,R9142
R7096,R9065
R3030,R5907
R13853,R8415
R2963,R4366
R10761,R9849
R11194,R15669
R4576,R5543
R13110,R6068
R242,R3628
R3098,R7410
R1198,R6063
R5614,R8043
R2837,R9610
R11249,R14193
R4449,R7336
R517,R8235
R11832,R9081
R2915,R4865
R13342,R17549
R16531,R16856
R576,R8821
R12986,R13818
R6431,R6937
R2565,R6430
R8217,R9203
R1946,R2487
R4467,R6850
R5857,R8704
R1516,R3535
R10233,R8274
R11510,R16636
R13954,R7584
R7749,R9233
R14341,R7635
R5638,R7563
R5355,R6278
R10102,R9136
R11381,R11480
R11714,R16450
R4127,R5060
R12675,R15399
R12283,R6568
R2433,R5151
R4425,R9186
R14821,R9201
R16041,R5604
R3298,R4744
R452,R978
R10225,R8288
R13463,R16013
R4583,R4589
R12073,R8318
R5752,R8178
R10103,R13595
R2045,R7606
R8473,R8963
R15449,R17468
R15975,R17326
R1997,R4544
R12238,R13512
R10568,R8129
R10234,R6306
R4884,R9756
R7354,R9372
R13297,R16654
R11785,R13904
R11596,R8745
R12103,R15669
R10032,R11395
R4492,R8850
R12442,R13300
R2241,R3059
R10609,R9217
R10163,R7200
R3720,R5130
R8269,R9248
R6464,R9918
R11089,R9206
R13148,R15095
R1803,R3786
R1848,R3877
R4114,R5544
R11796,R6049
R6102,R8539
R12078,R14935
R11408,R12373
R10968,R16539
R2220,R5098
R17063,R17568
R11321,R17438
R13703,R8725
R11241,R8424
R8743,R9703
R8840,R9361
R11912,R16309
R4436,R6249
R4498,R6874
R10484,R11827
R11631,R5429
R11856,R9108
R2038,R4466
R12702,R6049
R11745,R12652
R11719,R13558
R10575,R14532
R14691,R6119
R3870,R5261
R17101,R17392
R4835,R6288
R11669,R14932
R10539,R5682
R13399,R15708
R12285,R16165
R15881,R16898
R1268,R4646
R1974,R4391
R1240,R751
R13100,R6055
R3509,R4013
R2516,R9857
R1447,R2385
R8546,R9046
R5181,R6587
R12674,R6997
R12232,R9519
R11097,R9716
R11677,R12623
R3391,R6288
R10799,R2132
R8928,R9883
R8560,R9486
R4044,R5471
R16324,R17535
R10417,R13868
R16590,R17218
R4882,R9757
R10656,R3896
R26,R6315
R10383,R6466
R3930,R7078
R1090,R2059
R2906,R78
R6162,R838
R16794,R16795
R3595,R668
R14605,R9422
R13148,R16515
R523,R5842
R13594,R14005
R11003,R13209
R4864,R7290
R13783,R8373
R10431,R7490
R15124,R9589
R1517,R2500
R7013,R7480
R10407,R14243
R1161,R2561
R11100,R9742
R1036,R4822
R12506,R14862
R10846,R7441
R14348,R8095
R15091,R17471
R3925,R8671
R2560,R3619
R10665,R13659
R12880,R14442
R1265,R4656
R6141,R9084
R1774,R3266
R12342,R13590
R5292,R983
R8655,R9654
R15438,R16162
R11058,R15910
R11258,R8901
R13890,R15035
R12752,R16533
R14182,R15703
R6220,R9154
R17468,R9073
R12537,R13351
R11548,R983
R13875,R15369
R12226,R15747
R2960,R5266
R6833,R8336
R1036,R6227
R10738,R16531
R10262,R6340
R3883,R5294
R89,R995
R3900,R8704
R11474,R8050
R11533,R14437
R14058,R14805
R10485,R14499
R15999,R17003
R13776,R9859
R6413,R6901
R12940,R15245
R13563,R14696
R11568,R14062
R12529,R9312
R11372,R7538
R10994,R12378
R11209,R8829
R11610,R4478
R10262,R11638
R13983,R17180
R3001,R3491
R13789,R16710
R12217,R14241
R14031,R16608
R16912,R17511
R1309,R2294
R15790,R17122
R14852,R16679
R10378,R2616
R4356,R7188
R4836,R5827
R5247,R7175
R8417,R9877
R5578,R6531
R427,R5250
R3154,R4635
R2903,R3908
R5045,R8938
R10259,R5405
R2816,R3849
R2526,R9320
R2811,R6640
R1433,R6286
R14441,R15944
R12886,R7766
R12531,R13336
R3266,R5665
R1200,R6053
R11002,R15117
R5347,R7750
R13243,R14459
R3980,R6317
R3292,R6148
R13735,R14883
R16365,R17322
R17071,R9390
R4168,R9991
R3847,R5714
R14413,R15917
R15568,R17295
R13620,R5480
R10148,R5782
R13367,R14531
R2099,R6445
R14084,R9785
R11164,R15244
R11926,R8558
R15421,R16472
R10562,R8622
R8188,R9199
R1909,R954
R3235,R3720
R2651,R275
R8163,R9165
R2596,R5649
R1358,R2850
R5790,R6757
R2674,R4146
R10492,R7533
R2433,R3884
R10004,R7033
R4873,R957
R5425,R7813
R11592,R7792
R11270,R9388
R1105,R3583
R12105,R6396
R12903,R15221
R1762,R326
R11421,R15123
R6609,R7547
R10798,R8899
R11209,R14898
R6283,R8311
R6189,R7165
R14414,R16315
R123,R5391
R6289,R7793
R11153,R9328
R11147,R15221
R15226,R15610
R7862,R8852
R13040,R9863
R11575,R12874
R3679,R4628
R2541,R6890
R5287,R6797
R15973,R16365
R14598,R17087
R3858,R9147
R10765,R4008
R3390,R5754
R10433,R4596
R1649,R7955
R14222,R17066
R11358,R8495
R13052,R13865
R14806,R16985
R10668,R3921
R7905,R9419
R2409,R3386
R829,R9097
R11412,R12768
R1422,R3906
R10094,R6663
R6754,R8225
R5590,R6504
R5028,R8442
R3987,R6352
R12583,R4060
R2699,R5097
R1227,R266
R10727,R8794
R7416,R8940
R6266,R9665
R10528,R9567
R14751,R15498
R3818,R5680
R11647,R7878
R4294,R6182
R11961,R14445
R7235,R9702
R6061,R9995
R12580,R13808
R15109,R16922
R5452,R8827
R11760,R7461
R7611,R8633
R10244,R5757
R7736,R8295
R10641,R9780
R14476,R15604
R1635,R7392
R4169,R6064
R5639,R7560
R3838,R6676
R14284,R9487
R12179,R15317
R13185,R15499
R5787,R7716
R12670,R16271
R3718,R4658
R13085,R14662
R10200,R8311
R8677,R9271
R10491,R3235
R10548,R5101
R12704,R16482
R14983,R15687
R13257,R16404
R12570,R13363
R1373,R4796
R11556,R9686
R3979,R6297
R13415,R6015
R11327,R5550
R10625,R12415
R13583,R14742
R3811,R5201
R10253,R7705
R13768,R9836
R13928,R15437
R128,R3517
R8611,R9208
R12036,R13714
R13004,R13838
R5953,R8865
R14616,R16787
R11960,R13263
R6031,R8975
R12475,R14048
R3693,R6980
R11240,R13045
R1142,R1623
R12525,R17343
R8404,R9915
R12488,R9656
R14469,R15600
R3593,R5649
R12430,R15212
R4480,R5427
R11804,R9988
R1415,R4444
R16532,R17155
R11745,R7455
R10443,R7010
R1212,R4628
R4053,R7364
R14158,R14520
R12100,R4975
R1623,R2577
R11225,R14511
R13526,R17438
R14407,R17261
R6133,R8415
R7101,R8074
R3032,R5391
R7597,R8608
R2224,R2719
R5909,R8799
R4683,R6604
R13365,R14149
R2098,R6441
R4029,R4484
R12218,R9468
R10839,R17569
R14320,R16871
R12977,R9836
R10559,R8645
R1447,R493
R11602,R8820
R13714,R6794
R16537,R17506
R12390,R15165
R3983,R5773
R12977,R9373
R13580,R14352
R14714,R16890
R11200,R3547
R7931,R8451
R13702,R14407
R2772,R5234
R10674,R8787
R4620,R6083
R12275,R15804
R2392,R514
R13858,R16738
R4661,R7586
R1663,R2633
R10313,R16395
R10835,R9916
R3735,R8538
R16649,R16969
R13315,R9191
R12593,R14604
R12047,R8264
R1146,R2091
R3574,R4957
R10881,R8522
R224,R7438
R4579,R6493
R13874,R16783
R11752,R13474
R13982,R14716
R6991,R9032
R5796,R9180
R1783,R1875
R10766,R4029
R16022,R17356
R3162,R9971
R14191,R14958
R13649,R8209
R1125,R3637
R4382,R499
R14931,R17354
R13138,R9556
R12324,R15129
R2915,R8684
R15867,R16882
R3335,R5745
R11660,R7338
R12568,R9348
R15831,R16872
R1955,R5324
R5803,R7264
R13299,R16624
R13137,R4703
R2434,R5802
R11338,R4586
R3786,R407
R2916,R6720
R10039,R9562
R182,R7664
R6179,R831
R11917,R9169
R4438,R5343
R16850,R17463
R8734,R9273
R14858,R16671
R11573,R8306
R2069,R6383
R4072,R6441
R10141,R5750
R12063,R8815
R13906,R14656
R11645,R12082
R1068,R125
R14278,R15409
R1820,R7654
R2223,R4652
R10972,R888
R13281,R6819
R10352,R5499
R13919,R14281
R10815,R9381
R16799,R8503
R8087,R841
R10992,R11863
R10215,R11583
R10452,R11347
R2569,R5508
R6613,R9580
R13826,R14580
R1500,R40
R12860,R6282
R4982,R615
R16787,R17413
R4920,R6357
R11392,R16755
R10103,R14720
R14205,R9916
R10331,R5012
R14984,R17077
R3543,R8839
R12242,R13506
R3822,R6082
R15027,R15774
R15743,R6961
R13973,R15473
R10641,R11938
R3391,R9738
R2367,R896
R2747,R6577
R12675,R16129
R15538,R8973
R1313,R4736
R12916,R17309
R13109,R7031
R16555,R17193
R11077,R8224
R1463,R52
R3724,R6567
R8675,R9667
R4963,R5938
R13950,R17471
R8685,R9708
R5232,R6679
R12025,R12473
R3229,R5616
R6303,R6304
R7051,R9040
R10730,R11622
R2592,R637
R14283,R15057
R11511,R13272
R6866,R9801
R4022,R4946
R13242,R9739
R11741,R14957
R4922,R8355
R10973,R7112
R13307,R14090
R7292,R9744
R11260,R13853
R4270,R6184
R5427,R6342
R1743,R3739
R1268,R571
R16091,R16766
R2635,R5662
R12047,R7227
R5388,R6850
R3307,R4262
R8378,R8854
R13416,R9909
R11189,R16391
R11788,R7487
R3921,R4376
R10097,R2328
R11054,R8776
R15397,R16814
R12087,R14145
R11667,R16399
R3071,R6908
R1768,R7549
R13094,R6088
R10009,R6074
R6493,R7464
R11993,R7286
R12772,R14742
R13063,R14619
R13815,R9899
R12089,R6908
R1724,R710
R13459,R17388
R10928,R11818
R3325,R4273
R5669,R9581
R6250,R7234
R1412,R5376
R3825,R5188
R11900,R6666
R8204,R9741
R12864,R9732
R15422,R16480
R1293,R3241
R1813,R3272
R5339,R6265
R2565,R643
R2719,R6000
R11197,R13357
R16030,R17351
R11844,R15452
R13316,R14097
R5292,R8677
R10600,R15161
R11767,R15368
R12113,R7877
R12149,R9930
R12559,R4947
R6404,R7370
R10502,R13138
R14331,R7581
R4822,R6227
R11479,R12382
R5478,R6453
R13342,R16364
R12953,R15661
R12694,R6542
R4499,R8853
R4446,R9774
R6726,R9752
R4862,R84
R10941,R11851
R3546,R7883
R5595,R7008
R11496,R15898
R2412,R5279
R12674,R7968
R3375,R9734
R11438,R16251
R3916,R959
R10503,R6127
R11567,R16628
R6237,R9660
R14261,R14262
R10021,R11813
R2566,R4071
R11453,R9010
R2002,R4338
R6731,R938
R2911,R6746
R4230,R8074
R4136,R720
R3550,R4970
R7116,R7656
R10710,R8294
R12421,R8195
R12544,R3058
R12597,R16755
R1061,R4460
R12885,R7216
R1153,R3095
R14089,R16664
R13411,R15355
R4438,R6308
R3128,R5505
R3031,R8803
R10851,R11745
R5447,R7875
R1799,R877
R4000,R6839
R12289,R8036
R12659,R13866
R5297,R8215
R15744,R6961
R3705,R4583
R6069,R7018
R11191,R4047
R14835,R16644
R12186,R13416
R3101,R6938
R1743,R6112
R3169,R5081
R11153,R5398
R12683,R15024
R13425,R17398
R7487,R9994
R10776,R14149
R13098,R13908
R4882,R8304
R14270,R15793
R11179,R12072
R4008,R5400
R6013,R7091
R4910,R8240
R10221,R9274
R12730,R13406
R5337,R9683
R1184,R2143
R1557,R626
R4383,R7246
R11534,R13290
R5795,R6322
R10325,R8447
R3520,R5379
R7327,R9306
R3106,R7435
R763,R9971
R10750,R6903
R6047,R6670
R8343,R9312
R6427,R75
R1727,R2709
R14451,R15557
R13304,R15956
R10806,R13005
R11611,R9300
R10924,R9527
R4910,R8744
R2346,R7102
R10526,R11380
R2814,R5190
R1171,R8411
R10227,R6292
R4879,R7754
R10531,R10937
R17024,R17350
R3531,R4922
R2661,R6522
R2793,R4754
R14412,R16942
R6607,R8051
R8977,R9519
R11021,R8605
R3181,R6074
R4818,R7697
R13197,R8616
R1992,R6761
R14193,R9877
R15662,R16737
R3906,R94
R11830,R15091
R11750,R8466
R12631,R13450
R206,R3595
R3579,R3580
R5909,R6836
R2605,R6445
R13813,R15346
R12763,R16916
R8365,R9336
R2594,R680
R12497,R4881
R11934,R16329
R13996,R17510
R10916,R9487
R5314,R987
R2673,R830
R8474,R8951
R16598,R17224
R10491,R7041
R3645,R8975
R13977,R6613
R3521,R5409
R6554,R9522
R15392,R6088
R4083,R5020
R306,R3692
R10855,R11311
R1399,R4786
R11369,R5614
R13408,R16751
R10046,R7080
R13545,R17142
R3051,R4030
R12320,R13132
R10151,R15567
R5879,R6783
R11691,R14937
R174,R2534
R13353,R15968
R15298,R17317
R5771,R7738
R1922,R32
R15718,R16429
R12322,R8144
R13296,R15905
R1828,R6639
R10647,R9273
R10292,R9328
R13133,R16193
R14932,R15263
R13813,R14185
R10311,R11641
R2077,R5023
R12169,R14168
R11468,R9169
R14238,R7911
R2359,R4781
R6968,R8952
R8907,R9419
R2962,R7304
R11942,R14802
R13003,R7926
R11194,R9839
R12826,R9290
R11711,R14573
R10759,R17362
R11700,R9438
R8976,R9968
R15161,R15892
R7261,R8744
R12577,R8827
R2560,R7392
R10472,R7028
R1820,R5674
R298,R6635
R10987,R16915
R7741,R8312
R3976,R6823
R2017,R5418
R2325,R5703
R12926,R6695
R11800,R7999
R970,R98
R14231,R15375
R10978,R9620
R12967,R14930
R6010,R8393
R10182,R9227
R12602,R5781
R13571,R14753
R3091,R7402
R17093,R8900
R12743,R16187
R13847,R17096
R14119,R9818
R11560,R8268
R6805,R9178
R15654,R9846
R11803,R12712
R3835,R4769
R1143,R2615
R12758,R16193
R11383,R4817
R10167,R8774
R14787,R9786
R3562,R5415
R11080,R12859
R4959,R7864
R11293,R8924
R12328,R9623
R3033,R7832
R11155,R8808
R10955,R13197
R14124,R14501
R3839,R7153
R10094,R11015
R15151,R16574
R5405,R8335
R12417,R5763
R10544,R13590
R14664,R9027
R5350,R7220
R12048,R13353
R11807,R12243
R4922,R8818
R6816,R7750
R7828,R9315
R2696,R5560
R3808,R7603
R4245,R8063
R11900,R13194
R10464,R15395
R11034,R9053
R13498,R14958
R3792,R4714
R11372,R6102
R5857,R9726
R1885,R30
R13364,R17359
R1848,R2875
R12137,R14205
R11262,R17399
R11321,R15039
R11957,R15190
R2783,R9603
R11890,R13579
R11884,R7143
R3143,R8472
R2342,R3323
R6944,R9422
R11014,R8095
R4228,R6578
R13244,R8241
R2130,R6001
R13499,R14648
R4432,R5311
R12251,R15033
R1107,R3119
R14651,R16418
R11087,R6300
R11527,R8766
R7607,R8627
R12715,R13325
R14313,R16872
R3981,R5816
R12228,R9010
R2963,R5326
R7462,R8457
R16280,R16641
R12853,R9703
R3387,R8309
R5204,R7113
R13819,R15310
R14710,R17194
R3647,R4571
R13392,R14957
R14357,R15502
R12900,R14104
R5669,R8586
R10056,R12733
R10380,R14982
R10025,R7533
R4342,R6792
R14919,R17563
R4910,R6303
R7097,R8562
R5382,R8309
R16069,R17388
R16735,R17037
R11531,R14459
R13186,R16213
R11520,R14418
R10523,R12754
R15466,R16859
R11244,R6002
R6140,R7572
R6154,R7127
R11915,R13216
R11078,R14084
R1638,R2620
R3082,R4530
R5328,R6823
R13615,R16916
R2898,R5271
R13295,R14416
R2147,R6026
R1851,R4317
R4376,R5859
R1783,R3948
R4863,R7247
R1406,R6735
R11374,R13127
R3793,R6167
R16715,R9842
R1296,R5055
R12897,R4861
R12600,R16056
R13599,R16576
R3025,R5887
R10120,R11458
R3415,R7185
R16220,R16886
R4221,R5154
R3175,R751
R4745,R8627
R2869,R902
R11243,R14576
R2331,R6630
R13496,R9515
R3058,R7360
R13941,R14690
R11119,R12459
R5871,R7786
R5785,R6320
R14144,R15270
R14942,R16053
R10786,R12172
R15472,R17217
R12834,R9236
R7030,R8497
R2354,R5250
R12033,R5795
R1023,R3892
R12754,R16188
R14060,R16612
R13830,R16070
R15844,R16574
R2411,R945
R13288,R3924
R10451,R12228
R2495,R3508
R10234,R4905
R7082,R8567
R8568,R9560
R10599,R9641
R2414,R3388
R15713,R9938
R1592,R3131
R2729,R5653
R137,R4918
R11642,R13783
R10733,R9323
R3598,R657
R10817,R9435
R8278,R9201
R13180,R13580
R4920,R9809
R2434,R9284
R10851,R12652
R2046,R3543
R1723,R298
R12914,R7297
R6613,R8129
R10607,R8769
R6826,R9691
R10259,R8335
R2730,R3751
R11200,R8828
R15261,R15671
R5754,R8306
R1034,R1907
R12160,R9901
R10195,R13262
R3002,R6413
R12059,R14123
R15746,R16794
R14890,R15246
R2035,R2066
R2077,R3636
R12457,R13267
R16054,R16425
R2785,R5965
R3052,R9822
R11442,R14378
R14463,R9699
R13662,R14436
R16603,R17222
R12249,R9516
R139,R1541
R8184,R8787
R4041,R5925
R11577,R12402
R4111,R7960
R7992,R9478
R12002,R9268
R2092,R5985
R2370,R3333
R1940,R5302
R11283,R9399
R12977,R17362
R5398,R6343
R11741,R12596
R11993,R9762
R12977,R13768
R10773,R14138
R3812,R4283
R3682,R5093
R12567,R9844
R11847,R13952
R11693,R15317
R7932,R9425
R6072,R7976
R11830,R17471
R10181,R8260
R15052,R15776
R15303,R15728
R11126,R13309
R5565,R8484
R11761,R13477
R13327,R16694
R496,R5309
R13545,R16171
R12448,R16328
R11902,R15519
R14144,R16020
R11955,R8220
R3622,R8911
R11253,R16442
R5811,R7687
R13572,R9105
R1504,R2386
R3396,R4899
R1331,R5228
R12000,R14083
R10778,R6892
R13002,R14968
R10104,R15140
R10424,R8460
R1181,R6478
R13682,R7662
R12588,R14983
R2703,R8982
R15687,R17070
R4819,R9734
R7436,R8423
R14179,R7420
R14617,R16462
R3847,R6678
R14985,R16442
R5450,R6387
R8088,R9124
R12604,R13456
R10897,R13904
R5405,R6352
R11115,R11930
R13059,R14242
R12182,R6407
R11009,R6660
R8886,R9875
R12532,R14500
R12532,R16686
R15146,R17519
R10263,R13349
R14214,R16436
R10800,R11684
R11754,R14766
R12905,R14472
R4028,R6379
R11859,R12374
R8311,R9251
R10225,R4352
R14403,R9643
R6917,R8881
R4899,R5839
R12735,R15820
R10419,R8976
R14116,R17549
R10405,R9461
R12602,R8758
R1073,R7819
R11869,R14006
R11295,R17077
R4046,R6399
R3048,R6612
R3897,R4842
R1345,R2325
R11780,R15044
R11645,R14899
R12439,R14792
R14496,R16697
R10755,R14539
R6966,R8957
R4737,R6633
R1396,R4795
R12024,R1953
R15367,R16458
R11296,R14181
R10155,R8775
R10453,R2702
R13814,R9908
R1974,R6734
R3738,R5133
R6466,R7893
R5968,R679
R15345,R9877
R1189,R2150
R10224,R9290
R11829,R12756
R4449,R6829
R14230,R17582
R15104,R7105
R2692,R4604
R13400,R14169
R12471,R13655
R14388,R15807
R4255,R5589
R16373,R16717
R12024,R8683
R15702,R9391
R13492,R16797
R3101,R4078
R5778,R6714
R10124,R13221
R4919,R7807
R4401,R5323
R15807,R16509
R12096,R8854
R5334,R9207
R11104,R13652
R10355,R7939
R10568,R9580
R3567,R7851
R5017,R7406
R10869,R11765
R4262,R839
R7185,R9163
R2349,R5731
R7954,R9422
R11657,R13787
R11413,R11868
R10362,R8471
R3218,R4211
R14858,R15962
R13265,R13668
R7696,R8310
R327,R5631
R12613,R13426
R12355,R6663
R14041,R16978
R16227,R16574
R13692,R16288
R2312,R374
R13904,R16810
R14890,R17549
R7391,R7950
R10898,R6055
R10818,R5957
R10409,R9941
R15522,R17229
R3601,R4525
R1349,R6179
R14092,R16409
R10926,R3735
R13609,R9583
R10632,R11548
R11392,R14595
R3944,R7790
R409,R5223
R3413,R5358
R11225,R12571
R11247,R16449
R14242,R8461
R14558,R16073
R10561,R7622
R1832,R7594
R1544,R3038
R5927,R7868
R3981,R6723
R15625,R15986
R10965,R6498
R2954,R7712
R11760,R9962
R10855,R16103
R10571,R11506
R13469,R16453
R4038,R5434
R7342,R8803
R2642,R5065
R6452,R8935
R6127,R7558
R11689,R7352
R3130,R5968
R1125,R8358
R7959,R8944
R11076,R13653
R10041,R12313
R11097,R3927
R1631,R2588
R4610,R6085
R1824,R2824
R1375,R6691
R11901,R12801
R4490,R8364
R191,R2119
R3785,R4224
R11650,R7370
R10784,R7368
R12749,R7558
R10982,R8145
R5846,R7281
R8943,R9828
R2638,R4987
R10221,R11568
R15466,R17470
R11163,R3999
R11113,R8246
R16066,R16775
R4157,R736
R2136,R972
R13888,R9989
R11902,R15518
R3321,R5241
R3680,R7485
R8266,R9714
R12568,R13372
R11931,R15163
R5387,R6861
R4050,R6392
R6990,R758
R11126,R12263
R10945,R13556
R4517,R5043
R2831,R7130
R7631,R8625
R11180,R9795
R2370,R6305
R308,R4130
R11189,R12556
R5343,R7243
R3827,R6640
R5617,R793
R4526,R657
R1598,R2608
R15454,R17057
R14153,R17034
R11125,R9191
R3307,R839
R4611,R7012
R1383,R6224
R6117,R6576
R4666,R8063
R13841,R14547
R15905,R17244
R11256,R8406
R10036,R8063
R13328,R4477
R14725,R9632
R12209,R14242
R2056,R627
R12868,R15211
R1106,R4530
R9451,R9957
R11214,R16033
R14293,R16171
R11096,R17542
R13009,R15348
R12712,R13503
R11212,R12979
R1638,R5522
R5992,R6259
R3145,R699
R1246,R7021
R11070,R12858
R11298,R16752
R3836,R7148
R728,R7673
R4257,R5723
R1076,R3005
R10049,R7564
R5893,R7323
R12503,R12905
R10597,R12388
R14698,R15830
R13519,R16819
R2884,R3939
R14360,R8640
R1594,R4526
R1246,R4192
R16214,R16557
R11520,R13672
R10252,R12011
R4696,R6114
R10816,R9863
R10734,R7329
R3343,R8172
R14096,R6707
R10645,R12437
R12563,R13782
R10201,R11048
R12598,R17075
R14242,R15744
R116,R4668
R11912,R13631
R10288,R9801
R10759,R9373
R6097,R8550
R14655,R17428
R11770,R7510
R7106,R9099
R10601,R13620
R10896,R13881
R11960,R12436
R10454,R9029
R3159,R4166
R1504,R8704
R15456,R17172
R4788,R893
R10136,R8655
R11408,R8634
R7637,R8595
R5335,R8194
R14851,R16349
R10257,R11599
R1935,R3904
R16891,R17611
R10926,R5607
R15340,R17073
R14978,R9931
R10211,R8770
R10027,R11820
R12990,R13801
R6288,R9738
R12409,R8725
R10430,R11328
R7040,R9544
R6669,R9140
R10552,R4717
R10853,R14234
R10598,R11909
R3545,R4027
R5695,R8646
R11719,R16860
R4956,R7364
R5561,R7991
R2963,R4367
R10878,R12238
R12020,R12907
R11334,R9502
R3112,R4067
R7493,R9499
R14309,R9544
R1791,R1792
R13510,R7628
R10981,R2290
R3131,R4058
R1751,R6590
R10920,R337
R15704,R16411
R7270,R8245
R10526,R16279
R16326,R16950
R5117,R6499
R10018,R5599
R5910,R9797
